month,year,town,flat_type,block,street_name,address,storey_range,storey,floor_area_sqm,flat_model,lease_commence_date,lease_remaining,resale_price,distance_mrt,distance_towncentre,park,near_pop_sch,connected,period
2009-01,2009,TAMPINES,4 ROOM,348,TAMPINES ST 33,348 TAMPINES ST 33,04 TO 06,5,108,Model A,1996,86,300000,1.05,2.28,0,0,0,1
2009-01,2009,TAMPINES,4 ROOM,353,TAMPINES ST 33,353 TAMPINES ST 33,07 TO 09,8,107,Model A,1996,86,323000,0.94,2.22,0,0,1,1
2009-01,2009,TAMPINES,5 ROOM,350,TAMPINES ST 33,350 TAMPINES ST 33,07 TO 09,8,122,Improved,1996,86,380000,0.98,2.24,0,0,1,1
2009-01,2009,TAMPINES,4 ROOM,351,TAMPINES ST 33,351 TAMPINES ST 33,01 TO 03,2,107,Model A,1996,86,313000,0.97,2.21,0,0,1,1
2009-01,2009,TAMPINES,4 ROOM,361,TAMPINES ST 34,361 TAMPINES ST 34,04 TO 06,5,108,Model A,1996,86,300000,0.9,2.2,0,0,1,1
2009-01,2009,TAMPINES,5 ROOM,346,TAMPINES ST 33,346 TAMPINES ST 33,07 TO 09,8,123,Improved,1996,86,374000,1.03,2.2,0,0,0,1
2009-01,2009,TAMPINES,5 ROOM,359,TAMPINES ST 34,359 TAMPINES ST 34,07 TO 09,8,121,Improved,1996,86,405000,0.79,2.09,0,0,1,1
2009-01,2009,TAMPINES,4 ROOM,358,TAMPINES ST 33,358 TAMPINES ST 33,04 TO 06,5,107,Model A,1996,86,319000,0.72,1.99,0,0,1,1
2009-01,2009,TAMPINES,4 ROOM,364,TAMPINES ST 34,364 TAMPINES ST 34,01 TO 03,2,100,Model A,1997,87,312000,0.6,1.89,0,0,1,1
2009-01,2009,TAMPINES,4 ROOM,323,TAMPINES ST 33,323 TAMPINES ST 33,01 TO 03,2,112,Model A,1995,85,340000,0.63,1.74,0,0,1,1
2009-01,2009,TAMPINES,5 ROOM,391,TAMPINES AVE 7,391 TAMPINES AVE 7,07 TO 09,8,137,Model A,1994,84,390000,0.36,1.64,0,0,1,1
2009-01,2009,TAMPINES,5 ROOM,391,TAMPINES AVE 7,391 TAMPINES AVE 7,04 TO 06,5,127,Improved,1994,84,418000,0.36,1.64,0,0,1,1
2009-01,2009,TAMPINES,5 ROOM,316,TAMPINES ST 33,316 TAMPINES ST 33,01 TO 03,2,126,Improved,1995,85,372000,0.61,1.7,0,0,1,1
2009-01,2009,TAMPINES,4 ROOM,321,TAMPINES ST 33,321 TAMPINES ST 33,01 TO 03,2,109,Model A,1995,85,313000,0.68,1.67,0,0,1,1
2009-01,2009,TAMPINES,EXECUTIVE,312,TAMPINES ST 33,312 TAMPINES ST 33,10 TO 12,11,142,Apartment,1993,83,480000,0.47,1.59,0,0,1,1
2009-01,2009,TAMPINES,EXECUTIVE,313,TAMPINES ST 33,313 TAMPINES ST 33,04 TO 06,5,145,Apartment,1993,83,486000,0.53,1.59,0,0,1,1
2009-01,2009,TAMPINES,4 ROOM,396,TAMPINES AVE 7,396 TAMPINES AVE 7,07 TO 09,8,107,Model A,1994,84,310000,0.21,1.5,0,0,1,1
2009-01,2009,TAMPINES,5 ROOM,289,TAMPINES ST 22,289 TAMPINES ST 22,01 TO 03,2,121,Improved,1985,75,325000,0.74,1.5,0,0,1,1
2009-01,2009,TAMPINES,3 ROOM,227,TAMPINES ST 23,227 TAMPINES ST 23,04 TO 06,5,67,New Generation,1986,76,260000,0.17,1.33,0,0,1,1
2009-01,2009,TAMPINES,3 ROOM,295,TAMPINES ST 22,295 TAMPINES ST 22,04 TO 06,5,73,Model A,1984,74,263000,0.59,1.41,0,0,1,1
2009-01,2009,TAMPINES,4 ROOM,491F,TAMPINES ST 45,491F TAMPINES ST 45,10 TO 12,11,105,Model A,1993,83,343888,0.76,1.58,0,0,1,1
2009-01,2009,TAMPINES,3 ROOM,211,TAMPINES ST 23,211 TAMPINES ST 23,01 TO 03,2,67,New Generation,1985,75,237000,0.23,1.31,0,0,1,1
